ID,UserID,MusicList
64dbac10-79e9-4bb8-bf97-e28751a9db09,713f0b04-c763-48f3-a8f9-c7042f4afdb4,"['Material it.', 'Already because safe.', 'Road technology experience.', 'Form sign moment.', 'Option expert than talk.', 'Admit unit.', 'Employee however sell.', 'Tree keep.', 'Life people.', 'Ask player reveal.']"
5f994789-3263-401b-b2da-ad478c6f3877,075f7e06-2a7a-4fde-83ed-317a7497863f,"['Of board peace.', 'Grow field.', 'Traditional late baby.', 'Cold.', 'Brother operation whose.', 'Case indeed pick.', 'Must establish.']"
e3737375-0c5c-4728-be35-91b37cd72953,91d1a2ab-ea5b-4542-9a14-162401354dcd,"['Easy foot.', 'Management smile.', 'Walk sit address.', 'Reason military.', 'Loss magazine.', 'Wrong color important.', 'Old water.']"
fbcf86b7-47ad-4e80-b51d-ba0ea2f13860,db497b65-0d0d-4cdb-8925-7281b3a8485c,"['Office book read.', 'The carry.', 'Impact food.', 'Seem actually responsibility.', 'Safe member color.', 'Wrong growth body.', 'Poor open seem.', 'Soon less.', 'Training behavior summer.', 'Interest point.', 'Sort personal smile once.']"
47df7c08-a62d-4529-94b4-b11fd56eddd9,077e0a45-9716-4a23-919d-ea259849c33d,"['Free state nature.', 'Not.', 'Bar onto beyond.', 'Call.', 'Reduce capital.', 'As hair form.', 'I direction.', 'Just official.', 'Unit past.', 'Body.', 'Organization.', 'Way fact stay.']"
a69120ef-b04a-4e0b-8edd-db9379b2d2c1,aefa37eb-8264-4809-82fe-9666840a2776,"['Pull of perform less.', 'Brother list.', 'Sing.', 'Individual culture.', 'Real.', 'Subject increase.', 'Expect choice physical.', 'Ball popular provide.']"
7daa24ec-e093-49e8-8e17-705fde791ddd,0c7abe47-bcb6-49bf-ac6e-06f32a9fe489,"['Voice third.', 'Purpose her.', 'High often seek.', 'Character gun.', 'Born office.', 'Training serve.']"
81d1d1a4-708a-4051-9e46-cfe1b1796200,75475962-3bfe-45fb-a02f-711b619a099b,"['Decision support.', 'Bag already billion.', 'Apply approach chair.', 'Best.', 'Himself couple.', 'American enjoy.', 'Detail through city.', 'Inside heart.', 'Smile receive left somebody.', 'Him.', 'Save probably.']"
b9d8aec8-ddb4-4cf3-8c96-1e1e5504e929,4fe15037-062e-4fb7-9b90-e6fb78cc18c7,"['Teacher box I.', 'Start party.', 'Must allow.', 'Collection for war sign.', 'Cut task.', 'According southern.', 'Approach dinner.', 'Dog though.', 'Assume level time.', 'Us almost.', 'Though all available.', 'Quite leader chance.', 'Bar believe.', 'Sea federal simply.', 'Smile sense treat.']"
fb383b22-8048-401d-922b-1209e8b27c18,aefa37eb-8264-4809-82fe-9666840a2776,"['Avoid approach tend.', 'Even approach daughter.', 'Choice imagine level.', 'Item they.', 'Seven base.', 'Case think over.', 'Magazine culture.', 'Garden trouble four.', 'Travel rather charge.', 'Trip third many.', 'National loss.', 'Describe rock.', 'Provide born huge should.']"
faf39012-8123-48d0-ae13-c4acade312a4,bc72986a-18f6-48e9-82cf-f351259b735e,"['Indeed room personal.', 'Star understand store.', 'Month parent.', 'Fast lawyer.', 'Stage message look.', 'Leave machine.', 'Rather member just.', 'Also pretty.', 'Low laugh.', 'Side happen week.', 'Throw keep officer.', 'Different read.', 'Indicate start hair.', 'Account will.']"
941a4555-d1f3-4dd1-b11d-c3457c375ebe,a3c86790-3254-4f07-9da1-b50281013754,"['Design ten.', 'Understand employee alone.', 'Get improve to.', 'Matter item card.', 'Student student no.', 'Exist financial style push.', 'Western majority.', 'Smile media.', 'Be throughout miss.', 'Remain rock read.', 'Maybe gun.', 'Sell likely.']"
affe1932-93ce-48c4-839f-b3277ad22418,aefa37eb-8264-4809-82fe-9666840a2776,"['Social car since.', 'Throughout time drug.', 'Side type.', 'Home next question.', 'Which imagine.']"
